<FOR> : for => 1:3
<ABRE_PARENTESES> : ( => 1:4
<INT> : int => 1:7
<ID> : a => 1:9
<ATRIBUIÇÃO> : = => 1:11
<INT_LITERAL> : 0 => 1:13
<PONTO_VIRGULA> : ; => 1:14
<ID> : a => 1:16
<MENOR> : < => 1:18
<INT_LITERAL> : 10 => 1:21
<PONTO_VIRGULA> : ; => 1:22
<ID> : a => 1:24
<MAIS_MAIS> : ++ => 1:26
<FECHA_PARENTESES> : ) => 1:27
<ABRE_CHAVE> : { => 1:28
<INT> : int => 2:5
<ID> : e => 2:7
<PONTO_VIRGULA> : ; => 2:8
<WHILE> : while => 3:7
<ABRE_PARENTESES> : ( => 3:8
<TRUE> : true => 3:12
<FECHA_PARENTESES> : ) => 3:13
<ABRE_CHAVE> : { => 3:14
<IF> : if => 4:6
<ABRE_PARENTESES> : ( => 4:8
<ID> : e => 4:9
<ATRIBUIÇÃO> : = => 4:11
<ATRIBUIÇÃO> : = => 4:12
<ID> : a => 4:14
<FECHA_PARENTESES> : ) => 4:15
<ABRE_CHAVE> : { => 4:16
<ID> : e => 5:7
<ATRIBUIÇÃO> : = => 5:9
<INT_LITERAL> : 1 => 5:11
<PONTO_VIRGULA> : ; => 5:12
<FECHA_CHAVE> : } => 6:5
<ELSE> : else => 7:8
<ABRE_CHAVE> : { => 7:9
<ID> : e => 8:7
<MAIS> : + => 8:9
<ATRIBUIÇÃO> : = => 8:10
<INT_LITERAL> : 1 => 8:12
<PONTO_VIRGULA> : ; => 8:13
<FECHA_CHAVE> : } => 9:5
<FECHA_CHAVE> : } => 10:3
<FECHA_CHAVE> : } => 11:1
$
